Name,Website,Specialty,Address,Suburb,Postcode,State
"Dr Robert Petanceski, Orthopaedic Surgeon - Joondalup",www.orthpaedicsurgery.com.au,Orthopaedic service,Joondalup Specialist Centre,JOONDALUP,6027,WA
"Dr Graham Furness, Ophthalmologist - Westminster",https://insighteye.com.au/,Ophthalmology,Insight Eye Clinic,WESTMINSTER,6061,WA
"Dr Christopher Kennedy,  Ophthalmologist",http://www.sjogeye.com.au/,Ophthalmology,St John Of God Medical Centre,SUBIACO,6008,WA
"Dr Peter Panegyres, Neurologist - Joondalup",http://www.panegyres.com.au/,Neurology,UNIT 1A,JOONDALUP,6027,WA
Dr Andrew Higgs - Foot and Ankle Surgeon - Darlinghurst,orthopaedicsurgeon.com.au,Orthopaedic service,St Vincents Clinic,DARLINGHURST,2010,NSW
Dr Nick Vertzyas - Darlinghurt,www.thehipkneesurgeon.com,Orthopaedic service,St. Vincent's Clinic,DARLINGHURST,2010,NSW
Dr Horng Lii Oh - St Vincent's Clinic,https://orthosurgeon.com.au,Orthopaedic service,LEVEL 9 SUITE 901F,DARLINGHURST,2010,NSW
"Dr Paul Khoo, Orthopaedic Surgeon - Claremont",https://www.drpaulkhoo.com.au/coastal-orthopaedics-knee-shoulder-surgeon-claremont-murdoch-mandurah.html,Orthopaedic service,"Coastal Orthopaedic Group, Bethesda Hospital",CLAREMONT,6010,WA
"Mr Matthew Lawson-Smith, Orthopaedic Surgeon - Subiaco",www.drmatthewlawsonsmith.com.au,Orthopaedic service,Murdoch Orthopaedic Group,MURDOCH,6150,WA
"Mr Michael Ledger, Orthopaedic Surgeon - Joondalup",www.shoulderandknee.com.au,Orthopaedic service,"Shoulder & Knee Orthopaedics, Specialist Medical Centre West, Joondalup Health Campus",JOONDALUP,6027,WA
"Dr Robert Paul, Ophthalmologist - Melville",https://www.walasereye.com.au/,Ophthalmology,Wa Laser Eye Clinic,ALFRED COVE,6154,WA
"Dr Michael Wertheim, Ophthalmologist - Waikiki",www.pertheyeclinic.com.au,Ophthalmology,"Perth Eye Clinic, Waikiki Specialist Centre",WAIKIKI,6169,WA
ARTHRO Health - Kew,www.arthrohealth.com.au,Orthopaedic service,St Vincent's Private Hospital,KEW,3101,VIC
Northern Orthopaedic Clinic,https://www.northernorthopaedic.com.au/,Orthopaedic service,Northpark Private Rooms,BUNDOORA,3083,VIC
Orthopaedic Surgeons of Melbourne - Heidelberg,www.osom.com.au,Orthopaedic service,Suite 10,HEIDELBERG,3084,VIC
Dr Hariharan Sugumar - Cardiologist,http://www.heidelbergheartcentre.com,Cardiology,Heidelberg Heart Centre,HEIDELBERG,3084,VIC
Hawthorn Cardiology,https://hawthorncardiology.com.au/,Cardiology; Radiology service,90 Barkers Road,HAWTHORN,3122,VIC
Heartwise Paediatric & Adult Cardiology - Deepdene,http://www.heartwise.me,Cardiology,58 WHITEHORSE ROAD,DEEPDENE,3103,VIC
Melbourne Cardiology Group,https://www.cardiologygroup.com.au/,Cardiology,Cabrini Hospital,MALVERN,3144,VIC
Spectrum Eyecare,https://www.spectrumeyecare.com.au/,Ophthalmology,82 Beach Street,FRANKSTON,3199,VIC
Dr David Moses - Neurology,https://www.neuroclinic.com.au/,Neurology,Holmesglen Private Hospital,MOORABBIN,3189,VIC
Dr Beer - Orthopaedic Spine Surgeon in Nerang,https://drbenbeer.com.au,Orthopaedic service,Shop 1,NERANG,4211,QLD
Dr Danielle Wadley - Orthopaedic Surgeon,http://salusfootsurgeon.com.au/,Orthopaedic service,"John Flynn Private Hospital, Level 4 Medical Centre",TUGUN,4224,QLD
The Gold Coast Centre for Bone & Joint Surgery,http://www.gccbjs.com.au,Orthopaedic service,"Fred McKay House, John Flynn Hospital",TUGUN,4224,QLD
Prof David L Hare,https://ursc.com.au/,Orthopaedic service; Cardiology,Union Road Specialist Centre,SURREY HILLS,3127,VIC
Richard Pennington - Epworth Eastern Hospital,https://rporthopaedics.com.au/,Orthopaedic service,Hospital,BOX HILL,3128,VIC
Dr Andrew Beischer -  Richmond,http://www.footsurgeon.com.au,Orthopaedic service,Epworth Centre,RICHMOND,3121,VIC
Express Cardio-Services - Ringwood East,www.expresscardioservices.com,Cardiology,116A Mt Dandenong Road,RINGWOOD EAST,3135,VIC
